longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-121.92,37.64,46,1280,209,512,208,5.1406,315600
-121.9,37.66,18,7397,1137,3126,1115,6.4994,323000
-121.88,37.68,23,2234,270,854,286,7.333,337200
-121.88,37.67,16,4070,624,1543,577,6.5214,311500
-121.88,37.67,25,2244,301,937,324,6.4524,296900
-121.89,37.67,20,2948,471,1181,474,6.0604,247900
-121.89,37.67,19,2034,288,852,295,6.5285,300400
-121.88,37.66,29,2702,680,1360,642,3.1127,233000
-121.87,37.66,39,522,116,161,102,2.4896,238500
-121.87,37.66,52,775,134,315,123,5.0677,233300
-121.89,37.66,3,1565,464,769,461,2.1187,231300
-121.88,37.64,20,1309,184,514,172,10.9506,475800
-121.87,37.67,10,4337,800,1813,743,5.5,247200
-121.87,37.67,28,1812,294,853,278,4.9879,229400
-121.85,37.68,4,4719,741,1895,742,6.8132,282500
-121.85,37.66,14,4236,701,1833,663,5.6399,300600
-121.86,37.66,22,3634,664,1699,640,4.1597,293200
-121.87,37.66,27,1569,242,583,214,5.7519,278500
-121.84,37.66,13,13182,2074,4847,1950,5.6417,352900
-121.85,37.72,43,228,40,83,42,10.3203,400000
-121.82,37.73,47,127,23,51,21,4.3472,375000
-121.86,37.7,13,9621,1344,4389,1391,6.6827,313700
-121.77,37.65,16,4290,554,1952,576,7.3588,327500
-121.62,37.61,26,1786,306,771,279,5.7239,430600
-121.61,37.77,32,404,74,144,58,4.2083,125000
-121.72,37.7,17,1671,352,729,252,6.1023,450000
-121.73,37.71,12,5608,1049,2595,1067,3.9864,200200
-121.75,37.71,11,12070,2220,5826,2125,4.8624,192400
-121.77,37.74,25,494,81,254,85,9.1531,418800
-121.8,37.7,22,5533,943,2474,910,4.7361,216800
-121.8,37.69,17,3956,639,2222,662,5.4324,215500
-121.82,37.69,12,1906,351,802,319,4.9375,227700
-121.76,37.69,29,3433,711,1919,709,3.3841,184400
-121.77,37.68,36,1687,372,950,372,3.5532,158400
-121.78,37.69,34,2358,498,1157,461,3.3618,174600
-121.78,37.69,35,2853,588,1761,572,4.3533,168400
-121.79,37.69,25,6296,1082,3200,1047,4.5357,188400
-121.76,37.7,9,3980,736,1705,679,5.7068,256700
-121.75,37.69,26,2647,536,1422,522,3.7212,183800
-121.75,37.68,35,1755,299,702,263,5.2443,183400
-121.76,37.68,35,1864,357,1189,349,4.2361,177500
-121.76,37.68,32,1078,207,555,197,3.1856,186900
-121.73,37.68,17,20354,3493,8768,3293,5.4496,238900
-121.78,37.68,17,3112,872,1392,680,3.0222,172500
-121.77,37.68,44,495,112,277,109,2.6667,179200
-121.76,37.68,52,2157,418,929,419,3.7301,204400
-121.77,37.68,41,1501,299,629,288,4.6806,209400
-121.77,37.67,20,8068,1217,3489,1259,5.7907,264200
-121.76,37.67,6,3023,518,1225,468,6.3705,350000
-121.78,37.67,26,2211,344,1024,321,5.2649,199800
-121.79,37.67,26,2163,339,947,346,6.0797,211000
-121.78,37.67,28,1773,278,804,269,4.8571,201100
-121.78,37.66,25,1947,418,900,354,3.8523,193000
-121.79,37.66,22,14701,2210,6693,2232,5.98,245000
-119.78,38.69,17,1364,282,338,152,2.45,117600
-119.93,38.72,15,2061,465,573,196,2.2417,97900
-120,38.52,16,3045,543,202,102,3.15,140600
-120.56,38.48,14,3545,702,946,411,3.4609,120900
-120.59,38.45,13,2944,558,1091,466,3,119000
-120.55,38.46,16,1443,249,435,181,3.2031,129200
-120.55,38.45,17,2277,474,767,356,2.5208,99100
-120.55,38.43,18,1564,357,618,277,2.3549,108900
-120.25,38.55,15,4403,891,1103,433,3.0125,111700
-120.79,38.54,34,1133,254,495,187,2.05,68900
-120.8,38.51,23,1001,195,369,157,3.125,96400
-120.65,38.5,10,1783,337,638,262,2.65,116700
-120.76,38.47,17,1521,309,607,240,3.5,123800
-120.88,38.45,25,1374,297,657,288,2.5476,97900
-120.79,38.43,40,1391,246,546,214,3.9107,129800
-120.69,38.44,13,1473,265,597,228,4.2917,121300
-120.93,38.5,15,1248,234,529,216,3.3393,107200
-120.97,38.42,16,1748,322,4930,287,4.3029,121900
-120.87,38.37,28,3998,765,1614,698,2.8125,113400
-120.98,38.34,27,3471,653,1793,600,3.5508,99100
-120.88,38.32,18,2791,492,1187,438,3.2589,103000
-120.93,38.26,13,2084,449,834,305,3.2937,114200
-120.72,38.42,17,5654,1085,2237,953,3.0465,144100
-120.77,38.38,15,4221,816,1737,743,2.3125,128600
-120.72,38.38,9,1787,347,806,306,2.525,157200
-120.66,38.4,18,2144,420,985,381,3.175,118500
-120.65,38.42,23,1538,305,730,267,2.6078,116700
-120.62,38.39,15,3750,691,1444,603,2.7399,134800
-120.69,38.36,19,3267,614,1252,566,2.7236,109900
-120.71,38.34,16,1257,231,559,213,4.4531,144300
-120.8,38.31,37,1341,256,533,242,3.2135,123600
