longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-124.17,41.8,16,2739,480,1259,396,7.5114,185980
-124.3,41.8,19,2672,552,1298,368,4.94925,137280
-124.23,41.75,11,3159,616,1343,399,7.4415,109800
-124.21,41.77,17,3461,722,1947,539,5.6749,129960
-124.19,41.78,15,3140,714,1645,582,4.49658,149200
-124.22,41.73,28,3003,699,1530,544,4.2595,125280
-124.21,41.75,20,3810,787,1993,655,4.61702,120420
-124.17,41.76,20,2673,538,1282,367,7.3815,201210
-124.16,41.74,15,2715,569,1532,353,5.67554,139000
-124.14,41.95,21,2696,578,1208,449,4.55,208080
-124.16,41.92,19,1668,324,841,283,4.2672,135000
-124.3,41.84,17,2677,531,1244,304,6.66886,196840
-124.15,41.81,17,3276,628,3546,418,6.17436,175270
-123.92,41.54,22,2920,636,1382,356,5.45454,106650
-124.17,40.8,52,661,316,392,244,2.7753,120000
-124.16,40.8,52,2416,618,1150,571,3.63468,152950
-124.16,40.79,52,1264,277,591,237,4.62228,153800
-124.17,40.8,52,1606,419,891,245,3.17,113250
-124.17,40.8,52,1557,344,758,213,4.26167,118750
-124.16,40.79,52,2148,421,975,358,4.5132,176130
-124.16,40.78,50,2285,403,837,272,5.84591,170800
-124.17,40.78,39,1606,330,731,273,4.9107,102450
-124.19,40.78,37,1371,319,640,236,4.92534,140000
-124.18,40.79,39,1836,352,883,337,4.0135,105750
-124.18,40.79,40,1398,311,788,186,2.9336,103360
-124.17,40.79,43,2285,479,1169,438,5.11888,119850
-124.16,40.78,43,2241,446,932,395,8.42102,155800
-124.16,40.77,35,2141,438,1053,434,6.56167,136960
-124.17,40.77,30,1895,366,990,256,4.88994,162600
-124.18,40.78,37,1453,293,867,258,7.15008,126360
-124.18,40.78,33,1076,222,656,169,7.27784,137180
-124.18,40.78,34,1592,364,950,264,5.61782,107200
-124.17,40.75,13,2171,339,951,272,11.15868,174150
-124.17,40.76,26,1776,361,992,345,5.89176,157320
-124.19,40.77,30,2975,634,1367,389,6.5934,124200
-124.15,40.81,50,340,74,235,83,4.2,135000
-124.14,40.8,32,1373,312,872,219,7,130680
-124.15,40.8,47,1486,335,765,235,3.51,140790
-124.16,40.8,52,2167,480,908,301,4.67219,134460
-124.16,40.8,52,1703,500,952,335,3.18808,118560
